Date;Open;High;Low;Close;Adj Close;Volume
01/08/1993;2999.399902;3436.800049;2970.399902;3360.199951;3360.196533;0
01/09/1993;3336.800049;3336.800049;3073.699951;3177.300049;3177.296875;0
01/10/1993;3177.300049;3482.699951;3157.399902;3449.600098;3449.59668;0
01/11/1993;3449.600098;3477.899902;3262.899902;3280.100098;3280.09668;0
01/12/1993;3301.899902;3634;3301.899902;3615.199951;3615.196289;0
01/01/1994;3615.199951;3980.5;3581;3980.5;3980.49585;0
01/02/1994;3954.399902;3970;3671.5;3739.699951;3739.696045;0
01/03/1994;3719.5;3784;3480.800049;3489.100098;3489.09668;0
01/04/1994;3485.600098;3618.699951;3293.800049;3520.699951;3520.696289;0
01/05/1994;3461.600098;3677.300049;3313.199951;3512.600098;3512.596436;0
01/06/1994;3502.5;3546.399902;3144.399902;3200.699951;3200.696777;0
01/07/1994;3200.699951;3364.399902;3076.100098;3364.199951;3364.196533;0
01/08/1994;3379.899902;3477.399902;3204.800049;3337;3336.996582;0
01/09/1994;3326.300049;3326.300049;3119.800049;3176.600098;3176.596924;0
01/10/1994;3156.300049;3294.300049;3056.300049;3194.5;3194.496826;0
01/11/1994;3169.199951;3341.5;3142.300049;3287.100098;3287.09668;0
01/12/1994;3281.199951;3336.800049;3017.699951;3087.699951;3087.696777;0
01/01/1995;3087.699951;3121.300049;2929.699951;3040.100098;3040.096924;0
01/02/1995;3054.199951;3174.100098;3002.199951;3024.5;3024.496826;0
01/03/1995;3024.5;3092.300049;2833.600098;2931.699951;2931.697021;0
01/04/1995;2931.699951;3107;2911.899902;3091.899902;3091.896729;0
01/05/1995;3119.300049;3348.800049;3119.300049;3226.5;3226.496826;0
01/06/1995;3240.5;3283.800049;3196;3219.100098;3219.096924;0
01/07/1995;3219.100098;3395.899902;3201.100098;3373.399902;3373.396484;0
01/08/1995;3375.899902;3542.5;3375.899902;3432.800049;3432.796631;0
01/09/1995;3432.800049;3546.600098;3328.5;3376.800049;3376.796631;0
01/10/1995;3376.800049;3387.899902;3162.199951;3277.300049;3277.296631;0
01/11/1995;3280.899902;3527.899902;3242.899902;3510.100098;3510.096436;0
01/12/1995;3520.5;3641.5;3509.199951;3630.800049;3630.796387;0
