Tipo de dato;Agregados macroeconómicos;Niveles y tasas;Periodo;Total
Datos no ajustados de estacionalidad y calendario;Producto interior bruto a precios de mercado;Dato base;2007T3;260.915
Datos no ajustados de estacionalidad y calendario;Producto interior bruto a precios de mercado;Dato base;2007T2;272.717
Datos no ajustados de estacionalidad y calendario;Producto interior bruto a precios de mercado;Dato base;2007T1;256.341
Datos no ajustados de estacionalidad y calendario;Producto interior bruto a precios de mercado;Dato base;2006T4;266.246
Datos no ajustados de estacionalidad y calendario;Producto interior bruto a precios de mercado;Dato base;2006T3;245.044
Datos no ajustados de estacionalidad y calendario;Producto interior bruto a precios de mercado;Dato base;2006T2;254.165
Datos no ajustados de estacionalidad y calendario;Producto interior bruto a precios de mercado;Dato base;2006T1;238.368
Datos no ajustados de estacionalidad y calendario;Producto interior bruto a precios de mercado;Dato base;2005T4;245.907
Datos no ajustados de estacionalidad y calendario;Producto interior bruto a precios de mercado;Dato base;2005T3;226.691
Datos no ajustados de estacionalidad y calendario;Producto interior bruto a precios de mercado;Dato base;2005T2;235.008
Datos no ajustados de estacionalidad y calendario;Producto interior bruto a precios de mercado;Dato base;2005T1;219.751
Datos no ajustados de estacionalidad y calendario;Producto interior bruto a precios de mercado;Dato base;2004T4;228.041
Datos no ajustados de estacionalidad y calendario;Producto interior bruto a precios de mercado;Dato base;2004T3;210.474
Datos no ajustados de estacionalidad y calendario;Producto interior bruto a precios de mercado;Dato base;2004T2;217.083
Datos no ajustados de estacionalidad y calendario;Producto interior bruto a precios de mercado;Dato base;2004T1;203.839
Datos no ajustados de estacionalidad y calendario;Producto interior bruto a precios de mercado;Dato base;2003T4;212.086
Datos no ajustados de estacionalidad y calendario;Producto interior bruto a precios de mercado;Dato base;2003T3;196.507
Datos no ajustados de estacionalidad y calendario;Producto interior bruto a precios de mercado;Dato base;2003T2;202.759
Datos no ajustados de estacionalidad y calendario;Producto interior bruto a precios de mercado;Dato base;2003T1;190.914
Datos no ajustados de estacionalidad y calendario;Producto interior bruto a precios de mercado;Dato base;2002T4;198.458
Datos no ajustados de estacionalidad y calendario;Producto interior bruto a precios de mercado;Dato base;2002T3;183.547
Datos no ajustados de estacionalidad y calendario;Producto interior bruto a precios de mercado;Dato base;2002T2;189.754
Datos no ajustados de estacionalidad y calendario;Producto interior bruto a precios de mercado;Dato base;2002T1;177.793
Datos no ajustados de estacionalidad y calendario;Producto interior bruto a precios de mercado;Dato base;2001T4;185.971
Datos no ajustados de estacionalidad y calendario;Producto interior bruto a precios de mercado;Dato base;2001T3;171.995
Datos no ajustados de estacionalidad y calendario;Producto interior bruto a precios de mercado;Dato base;2001T2;176.446
Datos no ajustados de estacionalidad y calendario;Producto interior bruto a precios de mercado;Dato base;2001T1;166.581
Datos no ajustados de estacionalidad y calendario;Producto interior bruto a precios de mercado;Dato base;2000T4;172.186
Datos no ajustados de estacionalidad y calendario;Producto interior bruto a precios de mercado;Dato base;2000T3;158.993
Datos no ajustados de estacionalidad y calendario;Producto interior bruto a precios de mercado;Dato base;2000T2;162.872
Datos no ajustados de estacionalidad y calendario;Producto interior bruto a precios de mercado;Dato base;2000T1;153.8
Datos no ajustados de estacionalidad y calendario;Producto interior bruto a precios de mercado;Dato base;1999T4;158.888
Datos no ajustados de estacionalidad y calendario;Producto interior bruto a precios de mercado;Dato base;1999T3;145.954
Datos no ajustados de estacionalidad y calendario;Producto interior bruto a precios de mercado;Dato base;1999T2;149.831
Datos no ajustados de estacionalidad y calendario;Producto interior bruto a precios de mercado;Dato base;1999T1;141.05
Datos no ajustados de estacionalidad y calendario;Producto interior bruto a precios de mercado;Dato base;1998T4;149.043
Datos no ajustados de estacionalidad y calendario;Producto interior bruto a precios de mercado;Dato base;1998T3;136.461
Datos no ajustados de estacionalidad y calendario;Producto interior bruto a precios de mercado;Dato base;1998T2;140.009
Datos no ajustados de estacionalidad y calendario;Producto interior bruto a precios de mercado;Dato base;1998T1;130.48
Datos no ajustados de estacionalidad y calendario;Producto interior bruto a precios de mercado;Dato base;1997T4;139.684
Datos no ajustados de estacionalidad y calendario;Producto interior bruto a precios de mercado;Dato base;1997T3;127.175
Datos no ajustados de estacionalidad y calendario;Producto interior bruto a precios de mercado;Dato base;1997T2;130.471
Datos no ajustados de estacionalidad y calendario;Producto interior bruto a precios de mercado;Dato base;1997T1;121.938
Datos no ajustados de estacionalidad y calendario;Producto interior bruto a precios de mercado;Dato base;1996T4;129.967
Datos no ajustados de estacionalidad y calendario;Producto interior bruto a precios de mercado;Dato base;1996T3;120.174
Datos no ajustados de estacionalidad y calendario;Producto interior bruto a precios de mercado;Dato base;1996T2;123.286
Datos no ajustados de estacionalidad y calendario;Producto interior bruto a precios de mercado;Dato base;1996T1;115.776
Datos no ajustados de estacionalidad y calendario;Producto interior bruto a precios de mercado;Dato base;1995T4;122.392
Datos no ajustados de estacionalidad y calendario;Producto interior bruto a precios de mercado;Dato base;1995T3;112.398
Datos no ajustados de estacionalidad y calendario;Producto interior bruto a precios de mercado;Dato base;1995T2;116.633
Datos no ajustados de estacionalidad y calendario;Producto interior bruto a precios de mercado;Dato base;1995T1;109.165
Datos no ajustados de estacionalidad y calendario;Producto interior bruto a precios de mercado;Variación trimestral;2021T2;71,381
Datos no ajustados de estacionalidad y calendario;Producto interior bruto a precios de mercado;Variación trimestral;2021T1;-66,313
Datos no ajustados de estacionalidad y calendario;Producto interior bruto a precios de mercado;Variación trimestral;2020T4;60,812
Datos no ajustados de estacionalidad y calendario;Producto interior bruto a precios de mercado;Variación trimestral;2020T3;123,263
Datos no ajustados de estacionalidad y calendario;Producto interior bruto a precios de mercado;Variación trimestral;2020T2;-131,757
Datos no ajustados de estacionalidad y calendario;Producto interior bruto a precios de mercado;Variación trimestral;2020T1;-107,711
Datos no ajustados de estacionalidad y calendario;Producto interior bruto a precios de mercado;Variación trimestral;2019T4;60,917
Datos no ajustados de estacionalidad y calendario;Producto interior bruto a precios de mercado;Variación trimestral;2019T3;-31,365
Datos no ajustados de estacionalidad y calendario;Producto interior bruto a precios de mercado;Variación trimestral;2019T2;55,105
Datos no ajustados de estacionalidad y calendario;Producto interior bruto a precios de mercado;Variación trimestral;2019T1;-50,623
Datos no ajustados de estacionalidad y calendario;Producto interior bruto a precios de mercado;Variación trimestral;2018T4;60,922
Datos no ajustados de estacionalidad y calendario;Producto interior bruto a precios de mercado;Variación trimestral;2018T3;-26,076
Datos no ajustados de estacionalidad y calendario;Producto interior bruto a precios de mercado;Variación trimestral;2018T2;63,770
Datos no ajustados de estacionalidad y calendario;Producto interior bruto a precios de mercado;Variación trimestral;2018T1;-56,452
Datos no ajustados de estacionalidad y calendario;Producto interior bruto a precios de mercado;Variación trimestral;2017T4;56,633
Datos no ajustados de estacionalidad y calendario;Producto interior bruto a precios de mercado;Variación trimestral;2017T3;-22,872
Datos no ajustados de estacionalidad y calendario;Producto interior bruto a precios de mercado;Variación trimestral;2017T2;63,574
Datos no ajustados de estacionalidad y calendario;Producto interior bruto a precios de mercado;Variación trimestral;2017T1;-47,659
Datos no ajustados de estacionalidad y calendario;Producto interior bruto a precios de mercado;Variación trimestral;2016T4;53,018
Datos no ajustados de estacionalidad y calendario;Producto interior bruto a precios de mercado;Variación trimestral;2016T3;-21,275
Datos no ajustados de estacionalidad y calendario;Producto interior bruto a precios de mercado;Variación trimestral;2016T2;59,975
Datos no ajustados de estacionalidad y calendario;Producto interior bruto a precios de mercado;Variación trimestral;2016T1;-56,789
Datos no ajustados de estacionalidad y calendario;Producto interior bruto a precios de mercado;Variación trimestral;2015T4;58,095
Datos no ajustados de estacionalidad y calendario;Producto interior bruto a precios de mercado;Variación trimestral;2015T3;-21,155
Datos no ajustados de estacionalidad y calendario;Producto interior bruto a precios de mercado;Variación trimestral;2015T2;57,920
Datos no ajustados de estacionalidad y calendario;Producto interior bruto a precios de mercado;Variación trimestral;2015T1;-41,777
Datos no ajustados de estacionalidad y calendario;Producto interior bruto a precios de mercado;Variación trimestral;2014T4;53,646
Datos no ajustados de estacionalidad y calendario;Producto interior bruto a precios de mercado;Variación trimestral;2014T3;-22,832
Datos no ajustados de estacionalidad y calendario;Producto interior bruto a precios de mercado;Variación trimestral;2014T2;50,508
Datos no ajustados de estacionalidad y calendario;Producto interior bruto a precios de mercado;Variación trimestral;2014T1;-56,554
Datos no ajustados de estacionalidad y calendario;Producto interior bruto a precios de mercado;Variación trimestral;2013T4;47,277
Datos no ajustados de estacionalidad y calendario;Producto interior bruto a precios de mercado;Variación trimestral;2013T3;-30,973
Datos no ajustados de estacionalidad y calendario;Producto interior bruto a precios de mercado;Variación trimestral;2013T2;50,161
Datos no ajustados de estacionalidad y calendario;Producto interior bruto a precios de mercado;Variación trimestral;2013T1;-61,133
Datos no ajustados de estacionalidad y calendario;Producto interior bruto a precios de mercado;Variación trimestral;2012T4;37,811
Datos no ajustados de estacionalidad y calendario;Producto interior bruto a precios de mercado;Variación trimestral;2012T3;-34,994
Datos no ajustados de estacionalidad y calendario;Producto interior bruto a precios de mercado;Variación trimestral;2012T2;40,481
Datos no ajustados de estacionalidad y calendario;Producto interior bruto a precios de mercado;Variación trimestral;2012T1;-76,013
Datos no ajustados de estacionalidad y calendario;Producto interior bruto a precios de mercado;Variación trimestral;2011T4;52,321
Datos no ajustados de estacionalidad y calendario;Producto interior bruto a precios de mercado;Variación trimestral;2011T3;-47,666
Datos no ajustados de estacionalidad y calendario;Producto interior bruto a precios de mercado;Variación trimestral;2011T2;53,193
Datos no ajustados de estacionalidad y calendario;Producto interior bruto a precios de mercado;Variación trimestral;2011T1;-75,908
Datos no ajustados de estacionalidad y calendario;Producto interior bruto a precios de mercado;Variación trimestral;2010T4;69,792
Datos no ajustados de estacionalidad y calendario;Producto interior bruto a precios de mercado;Variación trimestral;2010T3;-42,892
Datos no ajustados de estacionalidad y calendario;Producto interior bruto a precios de mercado;Variación trimestral;2010T2;61,476
Datos no ajustados de estacionalidad y calendario;Producto interior bruto a precios de mercado;Variación trimestral;2010T1;-74,786
Datos no ajustados de estacionalidad y calendario;Producto interior bruto a precios de mercado;Variación trimestral;2009T4;68,586
Datos no ajustados de estacionalidad y calendario;Producto interior bruto a precios de mercado;Variación trimestral;2009T3;-42,251
Datos no ajustados de estacionalidad y calendario;Producto interior bruto a precios de mercado;Variación trimestral;2009T2;53,173
Datos no ajustados de estacionalidad y calendario;Producto interior bruto a precios de mercado;Variación trimestral;2009T1;-98,914
Datos no ajustados de estacionalidad y calendario;Producto interior bruto a precios de mercado;Variación trimestral;2008T4;62,269
Datos no ajustados de estacionalidad y calendario;Producto interior bruto a precios de mercado;Variación trimestral;2008T3;-53,289
Datos no ajustados de estacionalidad y calendario;Producto interior bruto a precios de mercado;Variación trimestral;2008T2;63,750
Datos no ajustados de estacionalidad y calendario;Producto interior bruto a precios de mercado;Variación trimestral;2008T1;-61,628
Datos no ajustados de estacionalidad y calendario;Producto interior bruto a precios de mercado;Variación trimestral;2007T4;94,479
Datos no ajustados de estacionalidad y calendario;Producto interior bruto a precios de mercado;Variación trimestral;2007T3;-43,276
Datos no ajustados de estacionalidad y calendario;Producto interior bruto a precios de mercado;Variación trimestral;2007T2;63,884
Datos no ajustados de estacionalidad y calendario;Producto interior bruto a precios de mercado;Variación trimestral;2007T1;-37,202
Datos no ajustados de estacionalidad y calendario;Producto interior bruto a precios de mercado;Variación trimestral;2006T4;86,523
Datos no ajustados de estacionalidad y calendario;Producto interior bruto a precios de mercado;Variación trimestral;2006T3;-35,886
Datos no ajustados de estacionalidad y calendario;Producto interior bruto a precios de mercado;Variación trimestral;2006T2;66,271
Datos no ajustados de estacionalidad y calendario;Producto interior bruto a precios de mercado;Variación trimestral;2006T1;-30,658
Datos no ajustados de estacionalidad y calendario;Producto interior bruto a precios de mercado;Variación trimestral;2005T4;84,767
Datos no ajustados de estacionalidad y calendario;Producto interior bruto a precios de mercado;Variación trimestral;2005T3;-35,390
Datos no ajustados de estacionalidad y calendario;Producto interior bruto a precios de mercado;Variación trimestral;2005T2;69,429
Datos no ajustados de estacionalidad y calendario;Producto interior bruto a precios de mercado;Variación trimestral;2005T1;-36,353
Datos no ajustados de estacionalidad y calendario;Producto interior bruto a precios de mercado;Variación trimestral;2004T4;83,464
Datos no ajustados de estacionalidad y calendario;Producto interior bruto a precios de mercado;Variación trimestral;2004T3;-30,445
Datos no ajustados de estacionalidad y calendario;Producto interior bruto a precios de mercado;Variación trimestral;2004T2;64,973
Datos no ajustados de estacionalidad y calendario;Producto interior bruto a precios de mercado;Variación trimestral;2004T1;-38,885
Datos no ajustados de estacionalidad y calendario;Producto interior bruto a precios de mercado;Variación trimestral;2003T4;79,280
Datos no ajustados de estacionalidad y calendario;Producto interior bruto a precios de mercado;Variación trimestral;2003T3;-30,835
Datos no ajustados de estacionalidad y calendario;Producto interior bruto a precios de mercado;Variación trimestral;2003T2;62,044
Datos no ajustados de estacionalidad y calendario;Producto interior bruto a precios de mercado;Variación trimestral;2003T1;-38,013
Datos no ajustados de estacionalidad y calendario;Producto interior bruto a precios de mercado;Variación trimestral;2002T4;81,238
Datos no ajustados de estacionalidad y calendario;Producto interior bruto a precios de mercado;Variación trimestral;2002T3;-32,711
Datos no ajustados de estacionalidad y calendario;Producto interior bruto a precios de mercado;Variación trimestral;2002T2;67,275
Datos no ajustados de estacionalidad y calendario;Producto interior bruto a precios de mercado;Variación trimestral;2002T1;-43,975
Datos no ajustados de estacionalidad y calendario;Producto interior bruto a precios de mercado;Variación trimestral;2001T4;81,258
Datos no ajustados de estacionalidad y calendario;Producto interior bruto a precios de mercado;Variación trimestral;2001T3;-25,226
Datos no ajustados de estacionalidad y calendario;Producto interior bruto a precios de mercado;Variación trimestral;2001T2;59,220
Datos no ajustados de estacionalidad y calendario;Producto interior bruto a precios de mercado;Variación trimestral;2001T1;-32,552
Datos no ajustados de estacionalidad y calendario;Producto interior bruto a precios de mercado;Variación trimestral;2000T4;82,978
Datos no ajustados de estacionalidad y calendario;Producto interior bruto a precios de mercado;Variación trimestral;2000T3;-23,816
Datos no ajustados de estacionalidad y calendario;Producto interior bruto a precios de mercado;Variación trimestral;2000T2;58,986
Datos no ajustados de estacionalidad y calendario;Producto interior bruto a precios de mercado;Variación trimestral;2000T1;-32,023
Datos no ajustados de estacionalidad y calendario;Producto interior bruto a precios de mercado;Variación trimestral;1999T4;88,617
Datos no ajustados de estacionalidad y calendario;Producto interior bruto a precios de mercado;Variación trimestral;1999T3;-25,876
Datos no ajustados de estacionalidad y calendario;Producto interior bruto a precios de mercado;Variación trimestral;1999T2;62,255
Datos no ajustados de estacionalidad y calendario;Producto interior bruto a precios de mercado;Variación trimestral;1999T1;-53,629
Datos no ajustados de estacionalidad y calendario;Producto interior bruto a precios de mercado;Variación trimestral;1998T4;92,202
Datos no ajustados de estacionalidad y calendario;Producto interior bruto a precios de mercado;Variación trimestral;1998T3;-25,341
Datos no ajustados de estacionalidad y calendario;Producto interior bruto a precios de mercado;Variación trimestral;1998T2;73,030
Datos no ajustados de estacionalidad y calendario;Producto interior bruto a precios de mercado;Variación trimestral;1998T1;-65,892
Datos no ajustados de estacionalidad y calendario;Producto interior bruto a precios de mercado;Variación trimestral;1997T4;98,361
Datos no ajustados de estacionalidad y calendario;Producto interior bruto a precios de mercado;Variación trimestral;1997T3;-25,262
Datos no ajustados de estacionalidad y calendario;Producto interior bruto a precios de mercado;Variación trimestral;1997T2;69,978
Datos no ajustados de estacionalidad y calendario;Producto interior bruto a precios de mercado;Variación trimestral;1997T1;-61,777
Datos no ajustados de estacionalidad y calendario;Producto interior bruto a precios de mercado;Variación trimestral;1996T4;81,490
Datos no ajustados de estacionalidad y calendario;Producto interior bruto a precios de mercado;Variación trimestral;1996T3;-25,242
Datos no ajustados de estacionalidad y calendario;Producto interior bruto a precios de mercado;Variación trimestral;1996T2;64,867
Datos no ajustados de estacionalidad y calendario;Producto interior bruto a precios de mercado;Variación trimestral;1996T1;-54,056
Datos no ajustados de estacionalidad y calendario;Producto interior bruto a precios de mercado;Variación trimestral;1995T4;88,916
Datos no ajustados de estacionalidad y calendario;Producto interior bruto a precios de mercado;Variación trimestral;1995T3;-36,310
Datos no ajustados de estacionalidad y calendario;Producto interior bruto a precios de mercado;Variación trimestral;1995T2;68,410
Datos no ajustados de estacionalidad y calendario;Producto interior bruto a precios de mercado;Variación trimestral;1995T1;
Datos no ajustados de estacionalidad y calendario;Producto interior bruto a precios de mercado;Variación anual;2021T2;191,969
Datos no ajustados de estacionalidad y calendario;Producto interior bruto a precios de mercado;Variación anual;2021T1;-34,033
Datos no ajustados de estacionalidad y calendario;Producto interior bruto a precios de mercado;Variación anual;2020T4;-76,863
Datos no ajustados de estacionalidad y calendario;Producto interior bruto a precios de mercado;Variación anual;2020T3;-76,771
Datos no ajustados de estacionalidad y calendario;Producto interior bruto a precios de mercado;Variación anual;2020T2;-203,862
Datos no ajustados de estacionalidad y calendario;Producto interior bruto a precios de mercado;Variación anual;2020T1;-32,519
Datos no ajustados de estacionalidad y calendario;Producto interior bruto a precios de mercado;Variación anual;2019T4;29,380
Datos no ajustados de estacionalidad y calendario;Producto interior bruto a precios de mercado;Variación anual;2019T3;29,385
Datos no ajustados de estacionalidad y calendario;Producto interior bruto a precios de mercado;Variación anual;2019T2;35,006
Datos no ajustados de estacionalidad y calendario;Producto interior bruto a precios de mercado;Variación anual;2019T1;43,505
Datos no ajustados de estacionalidad y calendario;Producto interior bruto a precios de mercado;Variación anual;2018T4;37,098
Datos no ajustados de estacionalidad y calendario;Producto interior bruto a precios de mercado;Variación anual;2018T3;32,906
Datos no ajustados de estacionalidad y calendario;Producto interior bruto a precios de mercado;Variación anual;2018T2;36,304
Datos no ajustados de estacionalidad y calendario;Producto interior bruto a precios de mercado;Variación anual;2018T1;36,113
Datos no ajustados de estacionalidad y calendario;Producto interior bruto a precios de mercado;Variación anual;2017T4;45,769
Datos no ajustados de estacionalidad y calendario;Producto interior bruto a precios de mercado;Variación anual;2017T3;42,191
Datos no ajustados de estacionalidad y calendario;Producto interior bruto a precios de mercado;Variación anual;2017T2;43,895
Datos no ajustados de estacionalidad y calendario;Producto interior bruto a precios de mercado;Variación anual;2017T1;40,362
Datos no ajustados de estacionalidad y calendario;Producto interior bruto a precios de mercado;Variación anual;2016T4;30,389
Datos no ajustados de estacionalidad y calendario;Producto interior bruto a precios de mercado;Variación anual;2016T3;35,356
Datos no ajustados de estacionalidad y calendario;Producto interior bruto a precios de mercado;Variación anual;2016T2;35,483
Datos no ajustados de estacionalidad y calendario;Producto interior bruto a precios de mercado;Variación anual;2016T1;33,475
Datos no ajustados de estacionalidad y calendario;Producto interior bruto a precios de mercado;Variación anual;2015T4;49,924
Datos no ajustados de estacionalidad y calendario;Producto interior bruto a precios de mercado;Variación anual;2015T3;45,510
Datos no ajustados de estacionalidad y calendario;Producto interior bruto a precios de mercado;Variación anual;2015T2;43,719
Datos no ajustados de estacionalidad y calendario;Producto interior bruto a precios de mercado;Variación anual;2015T1;36,407
Datos no ajustados de estacionalidad y calendario;Producto interior bruto a precios de mercado;Variación anual;2014T4;20,424
Datos no ajustados de estacionalidad y calendario;Producto interior bruto a precios de mercado;Variación anual;2014T3;14,256
Datos no ajustados de estacionalidad y calendario;Producto interior bruto a precios de mercado;Variación anual;2014T2;0,5806
Datos no ajustados de estacionalidad y calendario;Producto interior bruto a precios de mercado;Variación anual;2014T1;0,5473
Datos no ajustados de estacionalidad y calendario;Producto interior bruto a precios de mercado;Variación anual;2013T4;0,0593
Datos no ajustados de estacionalidad y calendario;Producto interior bruto a precios de mercado;Variación anual;2013T3;-0,8451
Datos no ajustados de estacionalidad y calendario;Producto interior bruto a precios de mercado;Variación anual;2013T2;-12,566
Datos no ajustados de estacionalidad y calendario;Producto interior bruto a precios de mercado;Variación anual;2013T1;-21,668
Datos no ajustados de estacionalidad y calendario;Producto interior bruto a precios de mercado;Variación anual;2012T4;-37,174
Datos no ajustados de estacionalidad y calendario;Producto interior bruto a precios de mercado;Variación anual;2012T3;-23,712
Datos no ajustados de estacionalidad y calendario;Producto interior bruto a precios de mercado;Variación anual;2012T2;-36,531
Datos no ajustados de estacionalidad y calendario;Producto interior bruto a precios de mercado;Variación anual;2012T1;-24,760
